Easton, Maine  Redline   Brightness and Temperature
Plate gap:  1.0320 FSR:   71.4248 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
me241204   flats: me241204  quadratic background, Poisson weighting, ( sky  )   moon phase:  Waxing crescent 
avg. brightness Z (R):  137.6 +/- 77.7 avg. error:   3.9
avg. brightness N (R):    0.0 +/-  0.0 avg. error:   0.0  avg. brightness S (R):    0.0 +/-  0.0 avg. error:   0.0
avg. brightness E (R):    0.0 +/-  0.0 avg. error:   0.0  avg. brightness W (R):    0.0 +/-  0.0 avg. error:   0.0
avg. background Z (R):  203.0 +/- 98.0 avg. error:   2.1
avg. background N (R):    0.0 +/-  0.0 avg. error:   0.0  avg. background S (R):    0.0 +/-  0.0 avg. error:   0.0
avg. background E (R):    0.0 +/-  0.0 avg. error:   0.0  avg. background W (R):    0.0 +/-  0.0 avg. error:   0.0
     avg. temp. Z (K):  601.2 +/- 48.8 avg. error:   9.5
     avg. temp. N (K):    0.0 +/-  0.0 avg. error:   0.0  avg. temp. S (K):    0.0 +/-  0.0 avg. error:   0.0
     avg. temp. E (K):    0.0 +/-  0.0 avg. error:   0.0  avg. temp. W (K):    0.0 +/-  0.0 avg. error:   0.0
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
Location latitude: 46.68, longitude: -67.88
SS-Analyze V05.03
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
 150 28.37 0.017   0.0   0.0  102.31   3.440   157.3    1.82  577.504   9.093 27.0  1
 151 28.41 0.017   0.0   0.0  103.41   3.418   149.2    1.78  576.640   8.883 27.0  1
 152 28.45 0.017   0.0   0.0   98.59   3.399   156.7    1.82  575.634   9.312 27.0  1
 153 28.49 0.017   0.0   0.0   90.47   3.390   176.0    1.93  577.036  10.290 27.1  1
 154 28.52 0.017   0.0   0.0   91.41   3.380   171.3    1.90  576.321  10.116 27.1  1
 155 28.56 0.017   0.0   0.0   90.88   3.368   169.1    1.89  577.321  10.151 27.1  1
 156 28.60 0.017   0.0   0.0   89.38   3.315   161.8    1.84  566.829   9.946 27.1  1
 157 28.64 0.017   0.0   0.0   83.12   3.339   179.0    1.95  600.586  11.588 27.1  1
 158 28.67 0.017   0.0   0.0   89.07   3.355   168.4    1.89  589.269  10.556 27.1  1
 159 28.71 0.017   0.0   0.0   93.81   3.373   161.7    1.85  584.023   9.918 27.1  1
 160 28.83 0.017   0.0   0.0   97.36   3.382   158.6    1.82  557.831   9.092 27.1  1
 161 28.87 0.017   0.0   0.0   97.16   3.424   169.4    1.89  559.797   9.303 27.2  1
 162 28.91 0.017   0.0   0.0   96.03   3.466   181.7    1.95  567.025   9.714 27.2  1
 163 28.95 0.017   0.0   0.0   97.63   3.487   182.0    1.96  571.184   9.677 27.2  1
 164 28.99 0.017   0.0   0.0   95.45   3.459   177.7    1.93  576.013   9.902 27.2  1
 165 29.02 0.017   0.0   0.0   90.62   3.383   177.3    1.92  553.671   9.818 27.2  1
 166 29.06 0.017   0.0   0.0   91.02   3.377   172.8    1.90  564.902   9.946 27.2  1
 167 29.10 0.017   0.0   0.0   97.39   3.400   161.1    1.84  572.158   9.398 27.2  1
 168 29.14 0.017   0.0   0.0  102.31   3.374   143.2    1.73  558.557   8.552 27.2  1
 169 29.18 0.017   0.0   0.0  102.52   3.345   138.2    1.70  545.982   8.238 27.2  1
 170 29.30 0.017   0.0   0.0  100.12   3.286   131.5    1.66  535.822   8.109 27.3  1
 171 29.34 0.017   0.0   0.0  102.59   3.292   126.6    1.63  543.781   8.019 27.3  1
 172 29.37 0.017   0.0   0.0  101.27   3.276   125.0    1.62  548.967   8.164 27.3  1
 173 29.41 0.017   0.0   0.0   98.28   3.214   120.5    1.58  527.580   7.910 27.3  1
 174 29.45 0.017   0.0   0.0  100.40   3.260   125.3    1.62  538.292   8.034 27.3  1
 175 29.49 0.017   0.0   0.0  100.98   3.270   124.2    1.61  546.585   8.134 27.3  1
 176 29.53 0.017   0.0   0.0   94.80   3.241   138.0    1.69  511.345   8.099 27.3  1
 177 29.56 0.017   0.0   0.0   91.76   3.313   159.1    1.82  542.228   9.211 27.4  1
 178 29.60 0.017   0.0   0.0   89.78   3.363   176.7    1.92  542.703   9.651 27.4  1
 179 29.64 0.017   0.0   0.0   96.40   3.389   164.4    1.85  552.714   9.144 27.4  1
 180 29.76 0.017   0.0   0.0  101.57   3.275   125.2    1.62  545.047   8.076 27.4  1
 181 29.80 0.017   0.0   0.0  101.73   3.262   121.0    1.59  546.803   8.038 27.4  1
 182 29.84 0.017   0.0   0.0   99.45   3.200   114.7    1.55  531.140   7.805 27.4  1
 183 29.88 0.017   0.0   0.0   98.25   3.163   109.4    1.51  530.521   7.781 27.4  1
 184 29.91 0.017   0.0   0.0   98.48   3.236   122.8    1.60  547.591   8.277 27.4  1
 185 29.95 0.017   0.0   0.0   88.61   3.175   136.7    1.67  508.079   8.472 27.5  1
 186 29.99 0.017   0.0   0.0   93.52   3.260   138.9    1.71  561.376   9.125 27.5  1
 187 30.03 0.017   0.0   0.0   84.10   3.172   149.5    1.75  514.924   9.130 27.5  1
 188 30.07 0.017   0.0   0.0   90.60   3.235   142.7    1.73  550.685   9.199 27.5  1
 189 30.10 0.017   0.0   0.0   91.88   3.281   148.3    1.77  565.072   9.470 27.5  1
 190 30.23 0.017   0.0   0.0   79.47   3.259   182.6    1.94  528.228  10.378 27.5  1
 191 30.26 0.017   0.0   0.0   82.65   3.281   176.7    1.92  542.677  10.287 27.5  1
 192 30.30 0.017   0.0   0.0   80.71   3.196   165.4    1.84  511.419   9.608 27.6  1
 193 30.34 0.017   0.0   0.0   79.75   3.206   170.5    1.87  518.172   9.921 27.6  1
 194 30.38 0.017   0.0   0.0   82.59   3.240   168.4    1.87  528.998   9.863 27.6  1
 195 30.42 0.017   0.0   0.0   80.52   3.205   167.1    1.85  520.784   9.856 27.6  1
 196 30.45 0.017   0.0   0.0   77.22   3.160   166.4    1.85  517.308  10.087 27.6  1
 197 30.49 0.017   0.0   0.0   73.76   3.145   172.6    1.88  518.924  10.606 27.6  1
 198 30.53 0.017   0.0   0.0   72.82   3.090   163.9    1.83  498.859  10.094 27.6  1
 199 30.57 0.017   0.0   0.0   75.90   3.123   161.2    1.82  515.170  10.088 27.6  1
 200 30.69 0.017   0.0   0.0   73.03   3.164   177.2    1.91  526.075  10.957 27.7  1
 201 30.73 0.017   0.0   0.0   77.40   3.159   164.6    1.84  520.196  10.110 27.7  1
 202 30.76 0.017   0.0   0.0   76.94   3.155   162.3    1.83  538.016  10.518 27.7  1
 203 30.80 0.017   0.0   0.0   72.53   3.111   167.2    1.85  517.592  10.627 27.7  1
 204 30.84 0.017   0.0   0.0   71.96   3.153   178.6    1.92  523.102  11.032 27.7  1
 205 30.88 0.017   0.0   0.0   72.28   3.188   187.1    1.96  523.095  11.138 27.7  1
 206 30.92 0.017   0.0   0.0   70.71   3.198   194.3    2.00  522.119  11.443 27.7  1
 207 30.95 0.017   0.0   0.0   73.98   3.225   188.4    1.97  534.549  11.249 27.7  1
 208 30.99 0.017   0.0   0.0   75.78   3.209   180.4    1.93  529.287  10.765 27.7  1
 209 31.03 0.017   0.0   0.0   75.66   3.243   183.6    1.96  559.787  11.575 27.8  1
 210 31.15 0.017   0.0   0.0   75.31   3.277   190.0    2.00  575.852  12.137 27.8  1
 211 31.19 0.017   0.0   0.0   73.78   3.223   187.0    1.97  543.924  11.477 27.8  1
 212 31.23 0.017   0.0   0.0   73.24   3.231   189.0    1.98  551.447  11.774 27.8  1
 213 31.27 0.017   0.0   0.0   68.56   3.217   201.6    2.04  540.822  12.373 27.8  1
 214 31.30 0.017   0.0   0.0   68.96   3.221   202.4    2.04  535.633  12.192 27.8  1
 215 31.34 0.017   0.0   0.0   71.28   3.250   197.0    2.03  561.499  12.455 27.8  1
 216 31.38 0.017   0.0   0.0   66.56   3.244   208.5    2.09  569.758  13.631 27.9  2
 217 31.42 0.017   0.0   0.0   58.90   3.166   218.5    2.12  539.787  14.349 27.9  2
 218 31.46 0.017   0.0   0.0   56.96   3.188   223.1    2.16  571.578  15.923 27.9  2
 219 31.49 0.017   0.0   0.0   57.26   3.090   214.6    2.08  492.903  13.107 27.9  2
